SDSS_NAME,R.A. [deg],Dec. [deg],redshift,log M_*/M_sun,r [mag],i [mag],r_tidal [mag],i_tidal [mag],log f_tidal
J000006.67+003016.7,0.02780,0.50465,0.109,11.03(0.13),16.957(0.006),16.547(0.005),22.40(0.10),22.06(0.09),-2.19(0.21) 
J000051.56+005323.8,0.21485,0.88998,0.104,11.16(0.12),16.410(0.005),16.032(0.004),22.02(0.08),21.65(0.08),-2.25(0.21) 
J000238.70+002309.8,0.66126,0.38611,0.088,11.31(0.15),15.952(0.004),15.488(0.003),20.06(0.03),20.37(0.04),-1.78(0.20) 
J000239.89+010040.7,0.66625,1.01129,0.087,11.01(0.14),16.421(0.005),16.021(0.004),24.51(0.25),99.00(99.00),-3.54(0.22) 
J000243.08+003419.2,0.67953,0.57202,0.078,11.08(0.12),16.182(0.004),15.750(0.004),22.05(0.08),21.65(0.07),-2.36(0.21) 
J000322.48+010328.3,0.84370,1.05789,0.079,11.68(0.10),14.842(0.002),14.399(0.002),19.54(0.02),19.80(0.03),-2.00(0.21) 
J000406.41+003303.5,1.02674,0.55101,0.086,11.33(0.12),15.904(0.004),15.424(0.003),21.95(0.08),22.51(0.12),-2.58(0.22) 
J000449.18+002800.9,1.20496,0.46698,0.095,11.20(0.09),16.443(0.005),15.925(0.005),22.39(0.11),22.36(0.29),-2.47(0.22) 
J000458.59+005743.4,1.24415,0.96210,0.095,11.48(0.11),15.737(0.004),15.306(0.003),19.88(0.03),19.45(0.02),-1.66(0.19) 
J000510.50+000540.4,1.29381,0.09458,0.138,11.18(0.14),17.013(0.006),16.534(0.005),23.04(0.13),22.88(0.14),-2.47(0.22) 
J000512.06-000902.6,1.30031,-0.15073,0.139,11.44(0.10),16.483(0.005),16.073(0.004),20.94(0.05),20.49(0.04),-1.78(0.20) 
J000602.45-002214.2,1.51024,-0.37061,0.114,11.01(0.14),17.087(0.007),16.657(0.005),24.38(0.24),23.51(0.18),-2.82(0.22) 
J000626.21-011110.8,1.60922,-1.18634,0.096,11.30(0.13),16.552(0.005),16.037(0.004),22.87(0.14),22.28(0.12),-2.51(0.22) 
J000629.41-011213.8,1.62255,-1.20385,0.098,11.08(0.11),16.901(0.006),16.399(0.005),22.50(0.11),21.59(0.07),-2.15(0.21) 
J000655.43-003919.2,1.73099,-0.65530,0.139,11.72(0.16),16.463(0.005),16.028(0.004),21.55(0.06),21.43(0.06),-2.09(0.21) 
J000708.18-005401.7,1.78411,-0.90047,0.145,11.10(0.18),17.608(0.008),17.193(0.007),24.17(0.23),23.14(0.16),-2.49(0.22) 
J000716.13+003552.2,1.81727,0.59784,0.093,11.07(0.12),16.626(0.005),16.174(0.004),22.50(0.10),21.91(0.07),-2.32(0.21) 
J000750.77-004029.9,1.96154,-0.67498,0.108,11.33(0.14),16.350(0.005),15.991(0.004),21.63(0.07),21.97(0.09),-2.23(0.21) 
J000829.11-010614.7,2.12131,-1.10408,0.147,11.42(0.11),16.810(0.006),16.468(0.005),22.90(0.12),22.86(0.13),-2.49(0.22) 
J000849.70-005404.4,2.20711,-0.90121,0.147,11.54(0.10),16.524(0.005),16.143(0.004),22.06(0.08),21.44(0.07),-2.17(0.21) 
J000856.10-001138.1,2.23378,-0.19390,0.138,11.54(0.13),16.288(0.005),15.833(0.004),21.31(0.05),21.36(0.06),-2.10(0.21) 
J000902.70-004738.7,2.26127,-0.79407,0.073,11.35(0.11),15.774(0.004),15.354(0.003),22.97(0.14),22.43(0.12),-2.85(0.22) 
J000918.11-001932.1,2.32551,-0.32559,0.075,11.06(0.13),16.541(0.005),16.108(0.004),24.95(0.37),24.04(0.26),-3.26(0.22) 
J001114.73+002840.0,2.81142,0.47783,0.108,11.69(0.16),15.552(0.003),15.112(0.003),19.84(0.03),19.54(0.02),-1.76(0.20) 
J001141.38+002514.0,2.92242,0.42058,0.112,11.01(0.11),17.274(0.007),16.844(0.006),22.83(0.11),23.38(0.17),-2.38(0.21) 
J001202.69+002000.9,3.01120,0.33362,0.108,11.00(0.19),17.070(0.007),16.611(0.005),22.21(0.09),21.62(0.07),-2.03(0.21) 
J001857.12-005816.3,4.73803,-0.97118,0.069,11.29(0.16),15.714(0.004),15.248(0.003),18.87(0.02),19.08(0.02),-1.39(0.16) 
